Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	9	16.9811320754717	0.007230700411677445	EIF5A, H2AZ1, ZGLP1, MACC1, RFX2, NUCKS1, SOX12, ASCL2, ETV6	46	1246	19416	3.048782189964408	0.912694468734547	1.0	1.0
GOTERM_BP_DIRECT	GO:0045629~negative regulation of T-helper 2 cell differentiation	2	3.7735849056603774	0.011535971690442036	BCL6, ASCL2	46	5	19416	168.83478260869563	0.9797300775205827	1.0	1.0
GOTERM_BP_DIRECT	GO:0045591~positive regulation of regulatory T cell differentiation	2	3.7735849056603774	0.04092395104472402	BCL6, SOX12	46	18	19416	46.89855072463768	0.9999992008592461	1.0	1.0
GOTERM_BP_DIRECT	GO:0042730~fibrinolysis	2	3.7735849056603774	0.0431488413553623	SERPINB2, F12	46	19	19416	44.43020594965675	0.9999996338036068	1.0	1.0
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	2	3.7735849056603774	0.04979327546847853	BCL6, NEXMIF	46	22	19416	38.37154150197628	0.9999999647725302	1.0	1.0
GOTERM_BP_DIRECT	GO:0007020~microtubule nucleation	2	3.7735849056603774	0.05639258857289463	TPX2, NDEL1	46	25	19416	33.76695652173913	0.999999996612406	1.0	1.0
GOTERM_BP_DIRECT	GO:0006541~glutamine metabolic process	2	3.7735849056603774	0.058582384536624336	GLUD1, PHGDH	46	26	19416	32.468227424749166	0.9999999984481146	1.0	1.0
GOTERM_BP_DIRECT	GO:0021510~spinal cord development	2	3.7735849056603774	0.06512200182805396	PHGDH, SOX12	46	29	19416	29.109445277361317	0.9999999998508375	1.0	1.0
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	6	11.320754716981133	0.06950756797644374	BCL6, ZGLP1, GFI1, SOX12, ASCL2, ETV6	46	958	19416	2.643550875919034	0.9999999999692732	1.0	1.0
GOTERM_BP_DIRECT	GO:0071392~cellular response to estradiol stimulus	2	3.7735849056603774	0.08447548037951055	H2AZ1, CCNA2	46	38	19416	22.215102974828376	0.9999999999998679	1.0	1.0
GOTERM_BP_DIRECT	GO:0050776~regulation of immune response	2	3.7735849056603774	0.08660153071597823	BCL6, CD8B	46	39	19416	21.645484949832774	0.9999999999999395	1.0	1.0
GOTERM_BP_DIRECT	GO:0006275~regulation of DNA replication	2	3.7735849056603774	0.09715958091201529	CCNA2, NUCKS1	46	44	19416	19.18577075098814	0.9999999999999988	1.0	1.0
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	3	5.660377358490567	0.09789355040841707	ACTN3, BCL6, CXCL1	46	228	19416	5.553775743707094	0.9999999999999991	1.0	1.0
